
time,weathercode (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),precipitation_sum (mm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),shortwave_radiation_sum (MJ/m²)
2018-01-01,1,-7.6,-14.4,0.00,19.9,39.2,9.86
2018-01-02,0,-3.8,-11.7,0.00,17.5,34.6,9.65
2018-01-03,3,-2.4,-11.2,0.00,10.2,20.9,9.23
2018-01-04,75,-4.7,-7.9,22.70,39.9,74.9,1.61
2018-01-05,3,-8.9,-15.6,0.00,30.1,56.9,10.34
2018-01-06,2,-12.5,-17.0,0.00,26.0,48.6,10.51
2018-01-07,2,-12.5,-22.6,0.00,15.8,29.2,10.40
2018-01-08,71,-1.7,-12.7,0.60,15.3,27.7,6.94
2018-01-09,3,3.4,-5.3,0.00,15.0,31.0,9.68
2018-01-10,3,1.7,-7.1,0.00,13.7,18.0,9.90
2018-01-11,3,7.8,1.1,0.00,11.3,19.1,7.38
2018-01-12,63,14.2,5.9,16.80,25.6,57.6,0.89
2018-01-13,63,13.5,-6.2,6.50,31.1,58.0,7.50
2018-01-14,1,-3.8,-10.0,0.00,20.5,37.1,10.87
2018-01-15,3,-1.9,-8.7,0.00,16.1,28.8,6.12
2018-01-16,3,4.0,-4.4,0.00,7.9,18.0,6.02
2018-01-17,73,1.2,-6.2,5.60,15.6,29.5,3.86
2018-01-18,0,0.3,-8.3,0.00,18.7,36.4,10.92
2018-01-19,1,3.9,-5.5,0.00,14.1,27.7,9.40
2018-01-20,1,9.6,-1.7,0.00,17.2,36.7,10.53
2018-01-21,3,9.3,-2.1,0.00,9.0,18.4,9.94
2018-01-22,51,8.2,3.4,0.60,11.9,17.6,3.23
2018-01-23,61,12.6,2.2,10.50,26.1,69.8,2.17
2018-01-24,2,4.6,-2.7,0.00,20.7,39.2,11.15
2018-01-25,2,0.8,-5.1,0.00,20.4,38.5,11.79
2018-01-26,0,2.2,-5.0,0.00,10.8,17.3,11.52
2018-01-27,3,11.3,-2.5,0.00,18.6,34.6,11.14
2018-01-28,53,9.4,3.6,5.80,18.6,38.2,2.62
2018-01-29,71,5.9,0.7,0.40,18.8,40.0,5.94
2018-01-30,73,3.0,-3.9,1.50,21.4,46.1,6.66
2018-01-31,3,-0.3,-7.6,0.00,20.6,43.2,12.29
2018-02-01,51,7.1,-1.5,0.10,13.0,30.2,7.87
2018-02-02,71,2.1,-8.0,5.10,27.4,51.8,11.91
2018-02-03,1,-0.8,-8.9,0.00,19.7,37.8,13.03
2018-02-04,63,6.8,-3.6,15.80,15.0,31.0,4.65
2018-02-05,63,2.7,-4.9,3.20,27.1,52.2,13.28
2018-02-06,71,2.9,-3.8,0.00,8.7,18.4,7.46
2018-02-07,73,7.1,-4.3,17.40,18.2,41.4,1.44
2018-02-08,51,1.0,-4.6,0.20,18.9,36.4,13.36
2018-02-09,71,1.0,-5.4,0.00,12.3,25.9,8.82
2018-02-10,55,10.5,1.0,6.40,10.8,21.2,5.30
2018-02-11,63,14.1,5.0,39.20,17.3,70.9,0.93
2018-02-12,51,15.0,-1.0,0.70,17.3,38.5,6.57
2018-02-13,2,2.0,-4.0,0.00,16.9,34.2,14.39
2018-02-14,73,11.0,-0.6,0.60,13.7,28.4,11.91
2018-02-15,61,15.0,5.6,3.80,12.0,28.1,6.74
2018-02-16,61,13.1,1.8,13.20,20.6,45.4,3.08
2018-02-17,75,3.5,-3.0,9.70,17.9,36.0,11.83
2018-02-18,75,4.8,0.1,5.50,20.4,37.4,15.62
2018-02-19,53,8.0,-3.8,0.80,14.0,43.6,8.26
2018-02-20,3,18.6,8.4,0.00,13.1,31.7,8.15
2018-02-21,53,22.7,11.0,2.20,17.7,38.2,8.13
2018-02-22,61,10.3,2.6,7.60,14.8,29.5,1.58
2018-02-23,61,5.0,1.6,7.30,13.8,31.0,1.40
2018-02-24,55,12.7,5.2,4.50,15.5,29.9,8.82
2018-02-25,63,6.9,5.0,16.70,21.6,40.0,1.54
2018-02-26,3,10.9,3.2,0.00,12.7,24.5,10.07
2018-02-27,1,12.1,-1.4,0.00,13.6,23.4,17.00
