"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","TSUN","WDF2","WSF2","WT01","WT02","WT03","WT04","WT05","WT06","WT08"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09-21","4.47","0.72","0.0",,"77","61",,"  180","16.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09-22","5.82","0.45","0.0",,"69","54",,"  300","14.1","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09-23","4.03","0.00","0.0",,"66","50",,"  360","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09-24","4.03","0.00","0.0",,"73","47",,"  270","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09-25","1.79","0.00","0.0",,"73","52",,"  280","6.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09-26","3.58","0.00","0.0",,"71","58",,"   70","10.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09-27","4.70","0.00","0.0",,"69","57",,"   70","10.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09-28","4.47","0.00","0.0",,"73","56",,"   60","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09-29","3.13","0.00","0.0",,"72","57",,"   70","8.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-09-30","3.36","0.00","0.0",,"75","56",,"  250","12.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-01","2.01","0.00","0.0",,"82","59",,"  280","10.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-02","4.03","0.00","0.0",,"83","64",,"  270","13.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-03","1.57","0.00","0.0",,"78","63",,"  260","6.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-04","2.91","0.00","0.0",,"86","66",,"   60","8.9",,,,,,,"    1"
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-05","3.58","0.00","0.0",,"76","64",,"  150","8.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-06","5.82","0.00","0.0",,"70","65",,"  140","10.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-07","5.82","0.25","0.0",,"76","60",,"  270","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-08","6.04","0.00","0.0",,"67","54",,"   60","13.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-09","8.50","0.00","0.0",,"62","53",,"   60","18.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-10","8.95","0.00","0.0",,"65","54",,"   70","16.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-11","9.40","0.02","0.0",,"68","60",,"   70","17.0","    1",,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-12","11.18","0.00","0.0",,"72","60",,"   60","21.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-13","8.50","0.00","0.0",,"65","56",,"   70","17.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-14","2.46","0.00","0.0",,"66","52",,"   60","8.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-15","2.91","0.00","0.0",,"72","53",,"  180","8.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-16","3.13","0.00","0.0",,"67","56",,"   80","8.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-17","2.68","0.02","0.0",,"73","61",,"  190","8.9",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-18","6.71","0.00","0.0",,"68","55",,"  290","15.0",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-19","3.36","0.01","0.0",,"64","52",,"  260","10.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-20","5.59","0.00","0.0",,"63","50",,"  280","14.1",,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","2013-10-21","3.80","0.00","0.0",,"66","50",,"  210","10.1",,,,,,,
